entrezgene	FC	pvalue
100152429	-1.616923806	0.008410801
100156455	3.506211911	0.009310952
100155248	1.353626952	0.075117739
100154452	1.712257794	0.009832199
100151911	1.631584098	0.000419876
414384	1.471637828	0.002373551
100153874	-1.347058453	0.004162393
397688	-1.778136026	0.031153018
100155953	22.13432737	0.002521708
100525411	2.007487631	0.037392921
100462716	2.011944121	0.001835844
100156323	1.21087777	0.039055674
100157930	-2.793063516	0.000681058
100515390	1.231325812	0.030524336
100513936	-1.700546632	0.022908105
100523804	1.414574333	0.004922277
100523127	-1.356354119	0.034007835
100152550	1.643013757	0.04158665
100152951	-2.045894931	0.001574785
100152568	-1.310739558	0.004558208
100621354	1.791977352	0.001015888
100738701	-2.420311562	0.000325463
100523845	1.355271703	0.051075039
100524745	1.408670437	0.000592084
100462754	1.619484079	0.001697507
100515140	3.136353836	0.000121172
100514770	2.260540559	0.044727702
100514962	1.477678962	0.055346649
100516372	-1.239874723	0.059849234
100518489	3.877604968	0.003866565
100520197	-2.328408001	0.002550333
100520385	1.370991267	0.023618825
100521624	-1.236184906	0.010107166
100521452	-1.529791162	0.003882081
100736590	1.197766898	0.065747297
100511756	-7.685922405	0.010576067
100514713	1.346292653	0.023153644
397061	204.8644112	1.09E-06
100516270	-1.40072458	0.01411375
100286873	-1.600395185	0.008598459
100520788	-5.393888404	0.000592987
100521132	1.304943717	0.030550148
100525048	1.5133779	0.004280031
396948	-2.609988702	0.038251923
100525400	-1.589116891	0.094818607
100523188	2.029413534	0.000384089
100512472	-1.368866228	0.042759472
100514463	-1.539506989	0.044486525
100517894	1.443312087	0.042382072
100518611	-1.933669793	0.001489559
100520431	1.743451326	0.001055
100625881	1.166091789	0.078523491
100521318	-1.856057486	0.054847256
100523791	-1.57497126	9.98E-05
100524868	-1.680034999	0.065887164
100525924	-1.255153889	0.078208955
397307	-2.562981385	0.002139773
100511084	-1.275872527	0.053818784
100511994	1.201435648	0.082623931
100512169	-1.613580531	0.036507075
100513658	1.842306243	0.006278073
100515549	-1.162979658	0.058351332
100628065	1.348214147	0.037202496
100520247	-1.307973333	0.037007808
100522140	-17.72726249	0.000125798
100524259	-2.285928463	0.087937406
397405	-1.439004456	0.023206393
100525521	-2.281944003	0.084650953
100515030	-1.78249549	0.007895706
100517284	-1.359632661	0.016244434
100127478	1.160495191	0.066045486
100523846	-2.04831126	0.058786333
768109	-1.670661776	0.000191544
100513862	-1.61096512	0.00039747
100518254	-1.2404367	0.036574259
595125	1.729167746	0.000102882
100519901	1.724661695	0.000609015
100523382	1.429814349	0.006870839
100511697	1.53755598	0.028929284
100511021	1.181129324	0.060688328
397576	-2.299577183	0.00098439
100038012	1.886166964	0.001437887
100512233	-1.238327862	0.081513985
100512416	-3.253930392	0.074494495
641348	1.955058474	0.009804861
100514771	1.57018383	0.018044882
100520962	1.1658503	0.051738895
100521797	1.847166183	0.065908505
396841	1.307478244	0.011286556
100524747	-3.222082234	0.046860981
100512538	1.84461398	1.43E-05
100511637	-1.215561447	0.059502151
100522679	1.34194969	0.02638843
100525465	1.774411424	0.009032935
100513660	-1.263481992	0.01891813
396656	1.35611745	0.007737965
100516558	2.145145788	0.000103502
100286877	-1.483097539	0.004101011
100520080	1.554500882	0.059854326
100523004	1.330564689	0.044695877
100525290	1.399331394	0.002887325
100525581	-2.481627242	0.007077764
100525752	-1.913729957	0.000669174
100627842	1.492894464	0.024574405
396614	-1.360504369	0.034007835
100523969	2.852556403	0.000214628
100524499	2.852556403	0.000214628
100521320	3.166047652	0.00028314
100519606	-64.67472816	9.98E-05
100524443	-1.386038929	0.062645806
100522934	1.83863496	1.86E-05
100523314	22.38604902	0.000384687
100523610	1.450940009	0.003843971
100127440	1.880258849	0.002191783
100511385	1.415028922	0.008224859
100511569	1.228794059	0.017391879
100512788	-1.20506871	0.052435122
100738053	-2.420644501	0.010889288
100517949	-1.402089012	0.026287142
100520617	1.402125799	0.007352365
100522376	-1.458949994	0.018650073
100523126	1.419721848	0.011695414
100522811	1.726997559	4.00E-05
100510911	2.03038711	0.000624198
100127359	1.320270335	0.007939006
100523793	-34.70058015	0.017155489
100736592	-1.852847071	0.0499531
100525404	1.200491284	0.048694515
100525583	-1.423188033	0.008964133
100512719	-1.396409904	0.015733891
100514237	1.335165703	0.024506517
100514967	1.343367483	0.042382072
100520743	1.795727648	0.020081605
100518913	1.457628769	0.002232618
100519845	1.62249969	0.005510097
100521094	1.232104843	0.04672134
100521628	-1.660029911	0.016580975
100523442	1.317592646	0.032024858
100523794	-1.65056423	0.051002545
100525466	-1.333554803	0.01914855
100511331	-1.44508317	0.032496045
100511513	2.619746854	0.000102882
397385	1.608131551	0.00545727
100625284	-1.227228585	0.017213805
397446	1.22014979	0.079827583
100327037	-3.729923769	0.000226486
445461	-1.468564939	0.006031993
100519549	-3.268383184	0.001677387
100127157	-1.150704534	0.056047875
100521975	-1.941287213	0.006805116
100521095	2.071596346	0.012428559
100125967	1.335306477	0.037392921
100523251	-4.290822952	0.022909919
100524500	-2.001536884	1.27E-05
100525877	1.348723897	0.012554536
100190994	1.405059486	0.014630898
100511935	1.486408266	0.000937184
100512968	-2.218284875	0.000759334
100514295	-1.211946031	0.028838512
100624754	-1.272702734	0.016591144
100517950	3.464365953	1.09E-06
387287	64.5920102	2.35E-06
100737666	-1.355567198	0.094112476
100520965	-4.466871814	0.015548057
100233188	-1.727989492	0.005713188
100521499	-1.432505307	0.004870587
100519719	3.695879608	0.00031715
100522553	2.589960905	0.01826252
100525928	-2.100304348	0.004152826
100525228	-2.408950761	0.06406159
100525405	-1.213145862	0.096769433
100512288	-1.237190248	0.016847113
100144621	-1.305729039	0.004128193
100514655	-1.365337108	0.001988854
100515840	-1.456463054	0.012431053
100144506	-1.7250714	0.057771368
100620967	-1.151300393	0.090474243
100522496	1.500515363	0.047144291
100524319	-2.991715387	0.025950831
